claim_id,claim_text,claim_level,supporting_artifact,supporting_table,metric,protocol,seed_scope,budget_scope,candidate_scope,evidence_strength,allowed_wording,forbidden_wording
MC1,Y and N supervision learn different recommendation semantics.,main,wiki/reports/phase-2b-result-synthesis.md; wiki/reports/phase-2c-popmatch-hard-candidate-diagnosis.md,Phase2B binary/canonical ranking; Phase2C overall metrics,"AUC,F1,HR@1,NDCG@5,MRR","validation-calibrated binary; canonical random-k5; PopMatch-k5",seed42 primary,current LLM adapter budgets,"Base/Y fixed binary; N fixed candidates","strong within MovieLens-1M","Y and N supervision support different interfaces and objectives.","N ranking equals preference ranking."
MC2,Dedicated supervision remains strongest for its corresponding task while M1 provides a unified multi-task tradeoff.,main,wiki/reports/phase-2b-result-synthesis.md; wiki/reports/multiseed-stability.md,Phase2B paper-ready claims; multiseed comparisons,"binary F1,HR@1",canonical plus PopMatch-k5,seeds42/43/44 for PopMatch ranking,LLM adapter budgets,PopMatch-k5 fixed seed42,strong,"M1 is a useful multi-task tradeoff but not a replacement for the strongest dedicated models.","M1 beats single-task models."
MC3,LLM-vs-SASRec conclusions depend strongly on training exposure.,main,wiki/reports/sample-efficiency-training-efficiency.md; wiki/reports/multiseed-stability.md; wiki/reports/fair-budget-baseline-positioning.md,closest-exposure gaps; multiseed comparisons,"N-task exposure,optimizer steps,effective batch,HR@1,NDCG@5,MRR","closest N-task exposure; high-exposure SASRec",seeds42/43/44 for s23 and s3000,exposure-specific budget regimes,PopMatch-k5 fixed seed42,strong but scoped,"N-K0 leads at closest exposure while high-exposure SASRec leads in a separate regime.","SASRec or LLM is universally better."
MC4,Harder candidate settings reveal limitations that canonical random-k5 obscures.,main,wiki/reports/phase-2a-ranking-robustness.md; wiki/reports/phase-2c-popmatch-hard-candidate-diagnosis.md,Phase2A robustness; Phase2C candidate diagnostics,"HR@1,NDCG@5,MRR,mean_abs_popularity_gap","canonical random-k5; PopMatch-k5; k20; k50; order perturbation",seed42 candidate variants plus order seed43,not a training-budget claim,multiple candidate protocols,strong for difficulty sensitivity,"Candidate size and popularity matching expose ranking limitations.","Canonical random-k5 alone proves robustness."
SF1,M1 calibration nearly matches Y-K0 binary performance.,supporting,wiki/reports/phase-2b-result-synthesis.md,validation-calibrated binary test metrics,"AUC,validation-calibrated F1",validation threshold selected on validation and applied to test,seed42 primary,LLM adapter budgets,binary test split,moderate,"M1 nearly matches Y-K0 after validation calibration.","M1 is the best binary model."
SF2,N-K0 remains above M1 under PopMatch-k5 and multi-seed.,supporting,wiki/reports/multiseed-stability.md; .agent/multiseed_stability/final/multiseed_comparisons.csv,multiseed comparisons,delta_HR@1,PopMatch-k5,seeds42/43/44,LLM adapter budgets,PopMatch-k5 fixed seed42,strong,"N-K0 remains above M1 across three seeds.","M1 catches up to N-K0."
SF3,Popularity and BPR-MF alone cannot explain N-K0/M1 PopMatch-k5 performance.,supporting,wiki/reports/baseline-popularity-comparison.md; wiki/reports/baseline-bpr-mf-comparison.md,popmatch LLM comparison,delta_HR@1,PopMatch-k5,seed42 baselines,baseline-specific,PopMatch-k5 fixed seed42,moderate,"N-K0 and M1 exceed Popularity/BPR-MF on PopMatch-k5.","Traditional baselines are fully exhausted."
SF4,SASRec high-exposure advantage is mainly middle/head driven.,supporting,wiki/reports/cold-tail-item-slice-diagnostic.md,cold-tail deltas,delta_HR@1,PopMatch-k5 target popularity buckets,seed42 diagnostic,high-exposure SASRec,PopMatch-k5 fixed seed42,diagnostic,"High-exposure SASRec advantage is not cold-tail driven in this slice.","SASRec solves cold-tail ranking."
L1,MovieLens-1M only.,limitation,wiki/current_state.md,current state,N/A,N/A,N/A,N/A,N/A,strong,"External validity requires another dataset.","The findings generalize across domains."
L4,Strict compute/FLOPs/capacity matching is not completed.,limitation,wiki/reports/fair-budget-baseline-positioning.md; wiki/reports/multiseed-stability.md,budget audit,N-task exposure vs optimizer steps,PopMatch-k5,seeds42/43/44 for selected regimes,not strict compute matched,PopMatch-k5 fixed seed42,strong,"Treat LLM-vs-SASRec as budget-regime specific.","The result is compute matched."
